SitRecID,Country,ISO3,NatName,IntName,SitLat,SitLong,SitArea,IbaStatus,AzeStatus,AddedDate,ChangeDate,Source,DelTxt,DelGeom,Shape_Leng,Shape_Area,KBA_Qual,Sovereign,area_int_EEZ_KBA
"6399",Kenya,KEN,Diani Forest,Diani Forest,-4.32725839941,39.57092257370,"449",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",,3. draft polygon,0.20052474233,0.00036594366,Global/ Regional to be determined,Kenya,1897894.735
"6403",Kenya,KEN,Kaya Waa,Kaya Waa,-4.19724062529,39.61550768790,"49",confirmed,,2008/06/09,2008/06/09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",,3. draft polygon,0.02843944936,0.00004020034,Global/ Regional to be determined,Kenya,69011.782
"6404",Kenya,KEN,Kisite island,Kisite island,-4.71923562036,39.37252893050,"146",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,0.04318963318,0.00011900493,Global,Kenya,1460006.419
"6405",Kenya,KEN,Kiunga Marine National Reserve,Kiunga Marine National Reserve,-1.89637458655,41.33811692490,"24231",confirmed,,2008/06/09,2008/06/09,"BirdLife International SitMapGlobal, 15/02/2008",,3. draft polygon,1.51333634688,0.01969613015,Global,Kenya,188605926.825
"6406",Kenya,KEN,"Mida Creek, Whale Island and the Malindi - Watamu coast","Mida Creek, Whale Island and the Malindi - Watamu coast",-3.33953459612,40.06926744400,"22634",confirmed,,2009/02/01,2018/08/22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",3. draft polygon,1.01674745990,0.01841861013,Global,Kenya,200243539.998
"6409",Kenya,KEN,Sabaki River Mouth,Sabaki River Mouth,-3.15635922561,40.13582237670,"826",confirmed,,2008/06/09,2018/08/22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",3. draft polygon,0.10487155283,0.00067228157,Global,Kenya,3615755.705
"6857",Somalia,SOM,Jasiira Ceebaad and Jasiira Sacaada Diin,Jasiira Ceebaad and Jasiira Sacaada Diin,11.44732153620,43.46174192930,"815",confirmed,,2009/10/09,,IBA directory description,Digitised from Google Earth imagery. Interpretation from IBA directory,3. draft polygon,0.17227467825,0.00067517423,Global,Somalia,6882951.672
"6858",Somalia,SOM,Jasiira Maydh,Jasiira Maydh,11.22349585580,47.24072496790,"46",confirmed,,2009/10/09,,Based on description in IBA Directory,Digitized using a combination of Google Earth and Flash Earth - confident location is correct.,3. draft polygon,0.04202909899,0.00003845223,Global,Somalia,302884.770
"6859",Somalia,SOM,Daalo,Daalo,10.96161865180,47.36860715130,"205986",confirmed,,2009/10/09,,Based on description in IBA Directory,"Digitized using Google Earth - southern, eastern and western boundaries estimated - moderatly confident of accuracy.",3. draft polygon,1.97557470866,0.17037230903,Global,Somalia,1159795.898
"6860",Somalia,SOM,Saylac,Saylac,10.82282029430,43.43973987030,"547066",confirmed,,2009/10/09,,Based on description in IBA Directory,Digitized using Google Earth - southern and eastern boundaries estimated - moderatly confident of accuracy.,3. draft polygon,2.89468700264,0.45227872122,Global/ Regional to be determined,Somalia,6596385.489
"6861",Somalia,SOM,Raas Xaafuun - Raas Gumbax,Raas Xaafuun - Raas Gumbax,10.48209298140,51.07712746190,"113429",confirmed,,2009/10/09,,Based on description in IBA Directory,Digitized using Google Earth - topographic features used to estimate inland boundary - moderatly confident of accuracy.,3. draft polygon,2.01260968057,0.09367325356,Global/ Regional to be determined,Somalia,195591674.970
"6873",Somalia,SOM,Jasiira lagoon and Muqdisho islets,Jasiira lagoon and Muqdisho islets,1.96667843359,45.18535375270,"2650",confirmed,,2009/10/09,,Based on description in IBA Directory,Digitized using Google Earth - inland boundary estimated from description and topography  - moderate condifence in accuracy.,3. draft polygon,0.19900832536,0.00215429153,Global,Somalia,1060578.830
