"","species.id","pu","amount","species"
"1",1,"10018",0.0624999999963343,"mangrove"
"2",1,"10021",0.0309398601121306,"mangrove"
"3",1,"10034",0.0231587044720948,"mangrove"
"4",1,"10038",0.0446720710781179,"mangrove"
"5",1,"10075",0.0566122629135475,"mangrove"
"6",1,"10108",0.0293983848048747,"mangrove"
"7",1,"10112",0.0157302660083771,"mangrove"
"8",1,"10139",0.011915200612735,"mangrove"
"9",1,"101500",0.000946479098770767,"mangrove"
"10",1,"1017",0.062499999996379,"mangrove"
"11",1,"102006",0.00650555523063242,"mangrove"
"12",1,"10237",0.0594751147340783,"mangrove"
"13",1,"10238",0.0341121928556263,"mangrove"
"14",1,"102562",0.0169751935129613,"mangrove"
"15",1,"10257",0.00623761912931362,"mangrove"
"16",1,"1027",0.0441195098686091,"mangrove"
"17",1,"10270",0.0411184658588246,"mangrove"
"18",1,"10272",0.0624999999947548,"mangrove"
"19",1,"102765",0.017907314499896,"mangrove"
"20",1,"102781",0.015557812330246,"mangrove"
"21",1,"10308",0.000451215715600178,"mangrove"
"22",1,"10318",0.0339641090707285,"mangrove"
"23",1,"10354",0.0179024029492848,"mangrove"
"24",1,"10375",0.0124411020967662,"mangrove"
"25",1,"10388",0.025181041035641,"mangrove"
"26",1,"10425",0.00515043479663669,"mangrove"
"27",1,"10427",0.00435672505882382,"mangrove"
"28",1,"10433",0.00419188013449684,"mangrove"
"29",1,"10440",0.0163641912801908,"mangrove"
"30",1,"10460",0.00281255278500915,"mangrove"
"31",1,"10480",0.0583595539235026,"mangrove"
"32",1,"10486",0.0133379336415241,"mangrove"
"33",1,"10511",0.0617317981276959,"mangrove"
"34",1,"10538",0.0230888951518094,"mangrove"
"35",1,"10549",0.0466206995152308,"mangrove"
"36",1,"10588",0.0453152533247233,"mangrove"
"37",1,"10721",0.0108670975838602,"mangrove"
"38",1,"10727",0.0288566144156009,"mangrove"
"39",1,"10734",0.0315069873310127,"mangrove"
"40",1,"1075",0.0624999999963492,"mangrove"
"41",1,"1079",0.0437103107645009,"mangrove"
"42",1,"10801",0.00636644734875485,"mangrove"
"43",1,"10807",0.0624999767303616,"mangrove"
"44",1,"10813",0.00434397469256818,"mangrove"
"45",1,"10836",0.0135109755512178,"mangrove"
"46",1,"10842",0.0533633945305273,"mangrove"
"47",1,"10846",0.0108353448328078,"mangrove"
"48",1,"10850",0.00212655792738043,"mangrove"
